Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDS28,1027.068348708509,OUT046
FDX24,1576.8218839850072,OUT013
FDZ02,1784.0734724042363,OUT035
FDL46,1839.25547448104,OUT045
FDS60,4250.409336238303,OUT027
NCO06,717.6465905641759,OUT017
FDO16,1575.6042405473024,OUT035
FDC60,1593.720043722141,OUT049
FDA48,3143.385870077208,OUT018
FDZ36,4385.028482398676,OUT027
FDK27,1908.4289842610222,OUT045
FDW23,471.63255370354614,OUT018
FDM14,1541.1823508090117,OUT018
FDM14,1815.352814779688,OUT013
FDW60,2582.1162522474706,OUT018
FDE21,1937.8367449367745,OUT013
NCM42,1909.6295631404078,OUT035
FDY59,-325.276642447807,OUT010
DRI49,1411.6164616201543,OUT049
FDT28,537.2071923218485,OUT019
FDQ22,492.4516104473246,OUT018
FDR60,1379.384404607903,OUT049
FDC50,-340.2531082544432,OUT019
FDV24,2420.169634351455,OUT013
DRF48,1114.8936484944325,OUT010
FDQ47,720.7024107545577,OUT046
DRN36,1683.4037250766814,OUT049
NCY06,2186.545696680341,OUT035
FDE52,1667.7100348612528,OUT035
NCB54,1960.2734232898479,OUT045
NCF31,2544.2467193331754,OUT035
FDJ08,4390.76265434792,OUT027
NCC07,1827.1444492907701,OUT017
NCD19,2337.0849311303973,OUT027
FDL46,2028.7564046335758,OUT049
FDM20,3747.4870288986035,OUT045
NCI06,943.0398761002476,OUT010
DRM11,4122.364533017648,OUT035
NCH07,2216.56153760565,OUT018
FDS23,2100.7278006301904,OUT013
FDO49,669.611070012116,OUT018
FDS35,1217.2217140612688,OUT049
DRK39,1285.9726813735922,OUT045
DRI39,1099.978006582694,OUT049
FDV04,2624.863110966567,OUT017
NCN14,2975.4833906593067,OUT035
FDH08,3643.5167154159785,OUT013
FDS20,2869.665523148345,OUT046
FDV40,1379.978454213614,OUT049
FDZ48,-86.89226142343932,OUT010
FDS24,2932.0148532120566,OUT027
FDK44,2828.497943221718,OUT049
FDS48,2339.162803170232,OUT045
FDK26,1102.71344936989,OUT010
FDD23,2937.071559052721,OUT045
NCH54,2634.2183373391263,OUT017
NCP14,-188.76888283441087,OUT010
FDM60,-1102.8992058263452,OUT010
FDV24,2476.404942163206,OUT017
FDH08,3307.1939714733803,OUT018
FDS12,3456.900864195074,OUT027
FDR39,4257.419862283463,OUT027
FDP12,2172.111692841848,OUT027
DRF60,5054.840035189797,OUT027
FDC09,1883.5086627079045,OUT035
FDF50,2792.631096988238,OUT018
FDG28,3949.8115523137794,OUT035
NCE19,1057.155358904009,OUT017
NCM53,-135.3811978541779,OUT010
NCN18,1869.1723657928894,OUT049
FDF32,3238.1001142024793,OUT035
FDF11,3794.3675501120715,OUT013
DRI59,3568.414316636819,OUT049
NCG54,2780.94239834641,OUT035
FDM44,1678.2034344736824,OUT046
FDT57,3413.21426061904,OUT018
FDV24,2369.6357117290468,OUT046
FDI50,1710.720450683526,OUT019
FDS09,1104.352749760311,OUT035
NCC31,3861.486834988572,OUT027
FDQ07,1570.3560600779106,OUT019
FDC22,3127.2816064612607,OUT017
FDZ56,2686.513497782122,OUT046
FDZ40,-886.7626110244146,OUT019
FDS46,3392.078903943198,OUT027
DRD24,2178.0225931934397,OUT045
FDV45,3076.110717187323,OUT017
FDL26,2402.3300001392595,OUT045
FDA56,1738.9110946749904,OUT018
FDN27,1901.254511769203,OUT046
FDM20,3893.609271459047,OUT049
FDO16,1507.2173898711974,OUT017
FDL03,3249.5457282308557,OUT035
FDE58,1865.6219302935817,OUT046
FDI02,3275.7956275253123,OUT027
NCC55,-1192.377000544573,OUT019
FDR03,2987.9011520547047,OUT018
FDB14,1662.1679460339797,OUT017
FDR45,3772.579260204854,OUT013
NCN07,2178.643760182832,OUT017
FDM51,-145.53768410605716,OUT019
FDT52,5264.676501721282,OUT027
FDL26,2437.1437828470116,OUT046
NCZ42,3677.868967036171,OUT046
DRI47,456.85218419769524,OUT019
FDW40,2322.447274960208,OUT013
FDN34,2710.53607794842,OUT046
FDS01,2961.6490133131797,OUT035
NCG55,1786.9058715791346,OUT045
FDC11,1578.889640068445,OUT035
FDX35,3287.552822041209,OUT018
NCB06,2504.743622035888,OUT046
FDR09,2147.006876225221,OUT019
FDC53,1723.1701314393013,OUT017
FDY45,3990.430446453028,OUT013
FDA22,754.8653210773701,OUT010
FDE02,1702.443749619094,OUT035
FDW21,1637.8254474510588,OUT045
FDV34,1307.5016795396918,OUT046
FDS59,1937.410753808058,OUT049
NCW17,2147.712294950034,OUT017
NCK54,1804.4971605622031,OUT046
FDG17,1966.89554712567,OUT019
FDG35,2883.7181900134233,OUT017
FDD08,-1134.5765725347392,OUT010
NCO07,3381.119354802672,OUT017
FDJ10,409.07438167932025,OUT010
FDW36,1811.7912010783205,OUT017
FDW21,-104.46172867600262,OUT010
FDY19,2023.898162394771,OUT017
DRE03,889.3223243086403,OUT013
NCC55,786.1303113732849,OUT049
FDH52,-728.1369806091938,OUT010
FDO09,4203.267619634895,OUT017
FDU43,3686.9487312052215,OUT045
FDX09,883.5188100450101,OUT010
FDH40,-431.88709691309793,OUT019
FDW58,1823.7420261733257,OUT017
FDC47,3624.1058505220485,OUT017
NCR41,1674.3492540532336,OUT035
DRG49,3913.4476038662815,OUT035
FDC52,3894.603804957204,OUT027
FDY13,1276.9689188702812,OUT046
FDY35,915.8285060569308,OUT013
FDI35,2960.6368349259706,OUT017
NCU18,2342.6309631222534,OUT049
FDY33,2273.2012978670023,OUT018
FDC15,3895.312389893488,OUT027
FDU01,3082.50972815646,OUT049
NCU42,2650.1568886481637,OUT046
NCV29,2512.7320213118355,OUT018
NCY30,2959.982470997533,OUT017
FDQ46,1913.094580442665,OUT049
FDG58,3895.0606737330454,OUT027
FDK33,3446.548753172124,OUT017
NCD07,1756.6520651494616,OUT045
NCX29,3699.2616499273877,OUT027
NCT42,2382.2837082161286,OUT013
DRN59,948.0167681826241,OUT035
FDI44,1465.3501433905146,OUT035
FDA45,2867.566369360888,OUT049
FDP31,1088.4448376179607,OUT045
FDY01,1874.2015536922427,OUT046
FDT09,1921.9124976175221,OUT018
DRH03,2974.050207012798,OUT027
FDA36,2682.497330391177,OUT018
NCF31,2514.3089967550295,OUT017
FDG14,2548.1904585180646,OUT049
FDG28,5255.859874286132,OUT027
FDU14,3974.3028500453984,OUT049
FDY47,277.64106967369275,OUT019
FDI56,1604.5953567263823,OUT049
DRD01,1058.2901272256627,OUT013
FDM22,1015.6800257938488,OUT046
FDH33,806.1190529789492,OUT013
DRZ24,1906.8063733416102,OUT013
NCQ38,1707.0368517346762,OUT046
FDO16,2848.9516869690938,OUT027
FDU07,3804.0672245512196,OUT027
NCB07,3053.215632751303,OUT013
FDU48,2070.6775038584856,OUT045
NCM43,2539.1369107319333,OUT045
FDR31,477.44426877699846,OUT010
DRK49,485.86409650239045,OUT018
NCI30,1891.2851961255487,OUT010
DRD60,2935.4735144551114,OUT017
NCG19,3591.594898092401,OUT046
FDH12,1864.0621203508329,OUT035
FDM32,1664.4357517254248,OUT035
FDM27,2628.2187787986018,OUT035
NCU53,4016.9563628576097,OUT027
NCQ18,1583.4188645225079,OUT046
FDS10,2857.058396272113,OUT013
FDB33,3943.7120596345303,OUT027
FDI12,1500.6283829248794,OUT013
NCW42,3454.6539365411904,OUT013
NCC06,1793.7615499003157,OUT018
FDW02,2170.502748485485,OUT017
NCD43,1793.7506507598996,OUT017
FDM57,1168.9960201417923,OUT018
FDA58,3746.909297591483,OUT017
FDK56,2868.859468407234,OUT046
FDP52,3566.3611914910985,OUT045
FDW20,1741.1552858084326,OUT018
FDS52,1776.7492541255126,OUT049
NCT29,1649.0057833972282,OUT018
NCL54,2751.1907865371472,OUT013
FDC05,3073.9849426773435,OUT045
FDF34,3278.409530159694,OUT035
FDP03,3472.9430691699063,OUT027
FDD32,-434.4505768399737,OUT010
FDZ10,1993.939999543313,OUT045
FDZ40,1122.396352544154,OUT035
FDD51,516.6908408515701,OUT018
NCY30,946.5225128342407,OUT019
FDP58,3467.8473464158474,OUT017
FDV49,4193.470258837234,OUT017
FDY24,-941.3729488748818,OUT019
NCO55,1823.9188677395134,OUT017
FDR13,2050.362846686616,OUT017
FDS51,1189.7139975779812,OUT017
FDP26,1615.8048418602493,OUT045
NCB54,3480.8772734528593,OUT027
FDF32,3166.545879539176,OUT017
FDN31,2700.786913771587,OUT018
DRM48,765.5148622375231,OUT017
FDN20,2775.5039837737645,OUT049
DRL01,3623.2447469826934,OUT046
FDV56,1913.0969256332855,OUT049
DRH13,3174.456517837274,OUT027
FDA03,2462.12737938558,OUT017
FDF47,4894.181646105175,OUT027
FDX32,2355.1917781837587,OUT046
FDX57,1735.6968900637291,OUT049
NCA30,2873.1188278889917,OUT045
FDO49,974.919441648418,OUT013
FDL04,-167.80036313159275,OUT019
DRM48,825.172013367701,OUT035
FDR16,3368.3395710159384,OUT013
NCC19,2710.495468886507,OUT018
NCE42,3570.9096482473738,OUT045
FDY24,1090.876839920944,OUT017
FDH19,2878.571304522758,OUT049
FDJ46,2759.400510659257,OUT013
FDN45,1587.324228040089,OUT010
FDY08,2398.7722052657114,OUT035
FDZ37,1626.7557550636964,OUT035
NCT30,777.8860070461769,OUT045
DRY23,526.923678563103,OUT018
NCZ30,1682.2336779154048,OUT018
FDC44,1542.3901521750856,OUT018
FDB45,1873.2528661931494,OUT035
FDY04,2669.558839057901,OUT013
FDM27,2525.920354241984,OUT046
FDZ43,3877.3536169435333,OUT017
FDT39,601.465460295521,OUT019
NCC06,170.06455910456464,OUT019
FDL15,3876.916642173246,OUT027
FDL57,4122.935497378638,OUT017
FDU08,1628.346639748795,OUT046
FDK40,4159.58410307723,OUT017
FDQ12,1698.3633906983614,OUT010
FDS48,2506.187662512424,OUT017
FDP09,3260.859024041075,OUT045
FDW21,1775.060510462683,OUT049
FDY25,2982.0668475866255,OUT035
DRE13,1524.2590931005884,OUT017
FDV43,-1076.4292785361295,OUT019
FDD22,1750.7464849776097,OUT045
FDM46,-369.8568008948888,OUT019
NCO30,1013.5279826405359,OUT010
FDM25,2774.996246729472,OUT046
NCN41,2068.8199825185998,OUT049
FDU24,1486.875061527219,OUT045
FDZ50,2918.300990287893,OUT046
FDP45,3979.4042654531227,OUT013
NCM54,1947.010855622441,OUT045
FDW10,870.9125108073143,OUT019
FDP20,2162.7228269136353,OUT017
FDK32,2436.6086211042893,OUT046
FDN52,1590.445048091521,OUT049
FDM58,1787.2652020902694,OUT045
FDZ46,3225.5713282307584,OUT027
NCA18,1609.5973540141683,OUT018
FDD35,1959.5496418915543,OUT046
NCK31,1027.985596487391,OUT035
FDI40,3105.618117477895,OUT027
FDT50,-242.28712763251673,OUT019
NCT06,2573.1894956880033,OUT046
FDT31,3112.525075986863,OUT035
FDT45,1049.2944197956786,OUT049
FDT13,2881.6575647022587,OUT045
FDO50,1430.1268058976068,OUT045
NCU18,353.2505230900442,OUT010
NCR54,3114.9633747009048,OUT049
NCO18,2528.52466650396,OUT018
FDU09,979.35107851369,OUT045
FDT13,2683.8694701026925,OUT018
FDE09,1833.3059261031515,OUT046
NCK53,-228.19243227971685,OUT019
FDG45,3413.44095306845,OUT049
DRH15,931.4975713600526,OUT035
FDO21,1680.8301184576671,OUT019
FDD14,4297.979926227337,OUT027
FDC09,1736.236716692564,OUT046
FDH45,2263.680314340577,OUT027
FDV32,1119.3853350415484,OUT046
FDG12,2099.1132272101117,OUT035
FDS32,2328.784767887078,OUT013
NCL55,3573.050996881735,OUT018
DRE01,3864.216987483716,OUT035
DRE15,1387.3871486913938,OUT049
NCL42,3736.2243205345753,OUT045
FDP31,1161.9884008858953,OUT013
FDN33,1304.9018318460598,OUT018
FDZ59,2637.58320596271,OUT046
FDE45,931.7170442615121,OUT010
FDJ07,1961.667058619559,OUT013
FDQ45,2670.2827697853127,OUT018
FDM33,4824.039690171041,OUT027
FDO15,-519.8793843700552,OUT010
FDM46,1552.2680968235754,OUT013
FDR03,3190.146912832836,OUT045
FDY49,2422.854669517219,OUT018
FDQ60,1893.145712523105,OUT045
FDW10,2873.0294967280415,OUT049
FDO51,966.928791113257,OUT049
FDJ40,1551.9973485984347,OUT018
FDS20,2597.080712696286,OUT018
FDU45,1923.3271779213535,OUT013
FDV02,2814.697887045014,OUT035
FDN09,3749.9537204915764,OUT046
NCM55,4327.740943355288,OUT027
FDN23,2074.741018481074,OUT018
FDY31,450.2085101045574,OUT010
FDW03,-72.42038015893831,OUT010
FDD14,2856.4465218491896,OUT046
FDV23,2110.067474773323,OUT017
DRI03,2682.7673466244787,OUT045
FDN13,1758.8482051068336,OUT035
FDF45,2527.5204648477234,OUT027
FDU46,1659.9024346962137,OUT035
FDB57,3617.767588473225,OUT049
FDV12,1780.8452666320338,OUT049
FDQ58,2424.8736722459853,OUT013
NCA18,1958.0200842507127,OUT017
FDH52,1217.0359060082656,OUT049
FDM24,2151.712317847278,OUT018
NCP43,4256.692458316627,OUT027
NCO18,906.7840279517694,OUT019
FDM32,1615.1951628050049,OUT017
NCL07,801.8355201841126,OUT017
FDK03,3992.6014048678253,OUT013
FDP59,1831.4802249927127,OUT017
FDQ24,3974.6046895291042,OUT049
FDQ16,1532.9992584428567,OUT018
FDU44,2626.331934012566,OUT013
FDH28,-1126.9730431551784,OUT010
FDV28,-1200.6081058872217,OUT019
FDM22,947.9048317784274,OUT045
FDR56,3097.642099012692,OUT046
FDV39,3183.546040753553,OUT049
FDU37,-506.25545936869344,OUT019
FDQ11,2181.3183523407856,OUT010
FDX02,3412.8624213442704,OUT045
NCS42,1242.9976161790164,OUT018
FDY57,3014.8700631256434,OUT027
FDB21,3819.707638948527,OUT049
FDE28,3682.56678837678,OUT017
FDQ55,1994.7399937775829,OUT017
FDA48,3546.5897334169163,OUT049
FDZ19,2679.1758959254685,OUT045
NCC43,3797.5337907779635,OUT045
NCV18,1335.361633372747,OUT046
NCA42,2216.5400007928984,OUT018
FDY45,3949.490174340209,OUT046
NCC30,2735.645586799644,OUT045
FDM57,1506.8977422823818,OUT013
FDL09,774.8499612435272,OUT010
FDB09,3448.7555113464314,OUT027
FDT44,2054.2912025825217,OUT035
NCT06,3995.361252058188,OUT027
FDX26,2976.6025205813744,OUT049
FDK32,2507.853207231589,OUT013
DRA12,2240.555734008259,OUT046
FDO46,1114.5086027150546,OUT010
FDE52,1519.1171949899217,OUT013
NCH42,3497.043051737474,OUT045
FDV08,911.3748663967751,OUT035
FDB47,3019.274040978588,OUT018
FDC28,-107.05902359028255,OUT010
FDD22,1837.3886828013365,OUT046
FDS07,3271.5142342946583,OUT027
DRI13,3300.9525921478016,OUT045
FDG32,3175.431266449997,OUT018
FDU14,3974.357373813826,OUT017
FDD28,-863.5343473334024,OUT019
NCP41,1880.0758094104465,OUT017
FDS08,2867.480820478287,OUT049
FDX47,2491.0961936528693,OUT045
FDC53,-183.08310710176482,OUT019
FDQ19,3925.8699671290337,OUT035
FDL14,2453.0417453724704,OUT045
FDM33,1545.5297519855549,OUT019
FDA51,1789.4543607980438,OUT045
FDZ27,617.850086876311,OUT018
FDT04,745.1133388159891,OUT046
DRC13,2123.6492412256875,OUT049
FDR16,4791.9087175721825,OUT027
FDQ03,5116.804555195457,OUT027
FDE38,2799.8801845587386,OUT035
DRH23,2382.2669890797843,OUT027
FDT11,1140.327221800772,OUT019
FDD09,2973.961183574228,OUT035
FDR40,1369.1912077659688,OUT045
FDX07,3008.1367991184784,OUT017
FDR07,1749.1510317052628,OUT035
FDA51,1966.61237661372,OUT017
FDT59,1724.4349580823628,OUT019
FDF20,3170.503965029037,OUT017
FDR13,1861.184430035213,OUT045
FDY26,3434.025570751617,OUT049
FDW04,2214.599647174939,OUT017
FDK52,3614.203818530473,OUT017
FDN60,2589.7378894578987,OUT049
FDM09,864.2300017043152,OUT019
FDP46,1549.0845611612813,OUT049
FDB50,-573.160788800415,OUT019
NCQ29,4059.99035496948,OUT049
FDP16,5234.028163519498,OUT027
FDX33,2308.2185742593506,OUT018
FDP07,1234.3032445054077,OUT010
FDN22,3885.831243409355,OUT046
FDF39,4192.6064250947475,OUT049
FDS21,1225.822937733772,OUT017
NCM42,1771.391235441854,OUT013
FDK50,718.2668158042637,OUT019
DRF13,3745.244766614627,OUT027
FDH35,2322.921434430208,OUT018
FDP60,1344.2432133872978,OUT018
DRJ49,3490.5195994250867,OUT027
NCT42,481.8276567324441,OUT019
FDE38,2758.0228647791746,OUT049
FDI04,3254.5169827794275,OUT049
NCH54,2418.423030335232,OUT045
FDT56,1174.1207439467191,OUT049
DRD15,3325.4242003411277,OUT018
FDV58,3056.0141673907274,OUT013
FDP21,3095.2777342628387,OUT049
FDH05,3685.592009742611,OUT013
FDR10,4000.4217869315953,OUT027
NCP06,2297.753050307425,OUT045
FDF33,1848.1286810770189,OUT049
DRK37,2970.4808309154446,OUT013
DRH49,1335.8893244760397,OUT045
FDT58,2678.248985761854,OUT013
FDD41,1474.5376143259082,OUT018
FDP40,1584.4571795935967,OUT018
FDM51,3140.7604525666616,OUT027
FDO45,-383.52002739632843,OUT010
FDW33,-154.28692155938364,OUT010
FDY24,924.1579232930424,OUT045
FDB10,1784.7055183664374,OUT010
FDM40,2373.144597206197,OUT035
NCI06,2926.5858512534087,OUT017
FDW12,470.4216477740491,OUT019
FDX48,3939.0364796820318,OUT027
NCW05,3127.61746653312,OUT027
FDX27,1696.283313645621,OUT017
DRM37,3007.075447144703,OUT045
FDA38,3697.208807405394,OUT045
FDR36,779.8595724241342,OUT046
FDZ45,3104.128734729624,OUT046
FDG05,2630.618717805761,OUT017
FDK28,4032.1392626760203,OUT013
FDV47,1370.8882643963818,OUT045
FDN21,2472.4399256936817,OUT045
FDP20,3476.4692913653644,OUT027
FDI35,2798.165997500749,OUT045
DRY23,850.0606313851769,OUT013
FDA56,2100.682555182296,OUT017
FDB09,2037.1439408277827,OUT013
NCO26,3296.7394616761994,OUT027
FDQ49,2266.799456013712,OUT018
FDI52,3389.2688307596436,OUT027
FDZ44,3343.094083946911,OUT027
FDZ09,2326.231723435442,OUT018
FDY03,1987.7488958584972,OUT049
NCG42,2161.3863943217716,OUT017
DRI13,4803.7747188898575,OUT027
FDQ32,2111.893492494897,OUT013
FDW16,1709.6640867186131,OUT035
FDU27,862.5169781751489,OUT046
FDR28,754.0430750229253,OUT010
FDQ49,675.8180454778959,OUT010
FDS37,1890.9385509839606,OUT046
FDW26,3200.622803859787,OUT018
FDX12,3504.045408519437,OUT018
NCP06,2415.6120286331293,OUT013
FDW45,447.8363930799352,OUT010
NCN30,1654.0620828130052,OUT049
FDN24,1043.5134498189273,OUT049
NCL41,2055.9174742583036,OUT027
FDR02,-54.09338477056281,OUT019
FDD09,967.8574317145159,OUT010
FDS33,-346.7645558031281,OUT010
FDU22,1860.8550434922633,OUT045
FDI53,2622.4647137213647,OUT013
DRH01,2840.766680208347,OUT049
FDX32,2344.996605877654,OUT013
NCP30,465.9369494751353,OUT018
FDB60,3021.096548465807,OUT045
FDB14,1675.516244707481,OUT049
NCP02,1149.7455628314437,OUT035
FDJ10,2373.4569262893065,OUT017
FDG34,1841.637516560063,OUT046
NCB18,1552.195751581681,OUT017
FDM16,1411.379400779768,OUT049
FDW25,1154.0688502612834,OUT018
FDB35,-315.48962706005153,OUT010
DRN11,2267.9330051297648,OUT013
FDF41,1947.9874302475937,OUT019
FDH16,1414.6172390842826,OUT045
NCQ50,3011.158455072757,OUT018
DRH23,693.1737780348175,OUT018
DRJ37,2424.4122096420288,OUT013
DRJ24,4296.009560386767,OUT027
FDY16,3040.5990455224146,OUT035
FDQ27,1700.2497105442092,OUT045
FDZ33,2286.2898077240657,OUT045
FDF29,2103.800174751655,OUT045
FDA08,2721.8133161172827,OUT049
FDG31,1128.801668217403,OUT046
FDE34,1066.1782164240994,OUT019
NCR30,2652.6205167334806,OUT027
FDV33,4177.02995620087,OUT035
DRZ24,1650.8781180138924,OUT018
NCL54,2810.908495299509,OUT035
FDR12,2884.070300497176,OUT049
NCC54,3712.6239174467746,OUT046
DRN59,856.5306678035035,OUT013
FDX50,-66.2874587559063,OUT019
FDV31,4213.840782339435,OUT027
NCA29,4129.577040338581,OUT027
FDW60,2934.9015474170374,OUT049
FDX08,2986.151844656,OUT017
DRD49,3647.3743438695537,OUT013
FDD33,3555.067150111598,OUT046
FDW35,844.8717689614418,OUT013
FDJ36,1815.9681130044446,OUT017
FDV51,2783.3769803438395,OUT035
FDW36,1741.8530530039175,OUT046
FDH35,2602.931127869028,OUT046
NCS30,3484.6330032503397,OUT027
FDN49,859.3003793390047,OUT017
FDL08,3530.892900783334,OUT018
FDI09,3765.984162814071,OUT013
FDP19,1768.5480967437898,OUT018
FDU21,-1183.3534365909263,OUT010
NCP41,1689.4040913301556,OUT045
FDY10,1877.8005249683358,OUT013
FDP12,478.84897447268656,OUT018
NCN26,1948.3575469485816,OUT049
FDK44,2764.771677680725,OUT013
FDC28,1868.4987103530789,OUT049
FDJ41,5506.050096036326,OUT027
NCT29,2111.7929355964,OUT035
NCH42,1669.1867966175596,OUT019
FDU60,2410.613581830089,OUT018
FDS02,2964.8400583555594,OUT045
FDC51,2031.5327257508184,OUT046
FDU03,2933.9809439421965,OUT013
FDX39,3286.6188843975083,OUT045
NCY05,-1195.9289058120803,OUT010
NCL06,5411.168849586522,OUT027
FDD32,1536.4190736003236,OUT035
NCN41,1903.4514812666123,OUT045
NCX53,2341.7208140188777,OUT049
FDU57,550.9262798622593,OUT019
FDQ23,1713.9832958596735,OUT046
FDQ52,3779.6161147116118,OUT045
FDC14,744.9841200615283,OUT045
FDY09,2937.1009963597953,OUT035
FDQ28,2462.278552477765,OUT045
FDV25,3431.9737349310535,OUT046
FDJ07,2034.7412984966895,OUT035
DRB25,1819.8641992989787,OUT049
FDK52,1607.8088129441194,OUT019
FDY52,2530.961849995846,OUT027
FDB28,3083.8389355652866,OUT046
FDT36,812.7085649432728,OUT035
FDV25,3553.710631953423,OUT017
NCN07,3508.535365632505,OUT027
FDC57,3179.7688836246175,OUT017
FDQ03,3433.7820224867105,OUT018
FDU23,2745.5930535227853,OUT017
NCX41,3435.2548539272702,OUT035
NCD06,963.677310618869,OUT035
FDW08,1645.1142304593236,OUT045
NCU29,2402.0847538806615,OUT017
NCE06,2555.5305085922414,OUT013
FDV52,42.809050393226244,OUT010
FDB02,2927.9065577471074,OUT017
NCR18,718.6040403882168,OUT045
FDK16,1648.3596959752856,OUT049
NCQ29,2064.3033912363976,OUT010
FDZ01,-95.49243015079372,OUT019
FDW27,2643.076828553688,OUT035
FDD17,3430.455332987952,OUT018
FDW39,2836.613192324182,OUT013
DRH59,1149.4180822161834,OUT045
FDS52,1730.6869540481005,OUT013
FDU40,4497.142306891739,OUT027
NCF54,2756.864869511254,OUT013
FDH46,1674.6360055829628,OUT045
NCP14,1761.9097256465298,OUT049
FDH50,3026.8377259587282,OUT049
DRF15,544.9587757178248,OUT010
FDV27,2940.768290577668,OUT027
NCJ06,2034.2001682741063,OUT049
FDN02,2942.875405644474,OUT018
FDQ51,983.5764502325407,OUT049
FDQ07,3602.225211657051,OUT017
FDS45,1880.6478637573039,OUT049
NCJ06,1885.124090993076,OUT045
FDD36,2057.764724229509,OUT035
FDY25,2799.9806429989376,OUT045
FDU52,2448.9267790765816,OUT046
DRK47,3606.076545798795,OUT017
NCL30,2140.1744811809713,OUT017
FDN22,4043.4789610505713,OUT035
